EventName,Fare,TypeOfTrip,Ratings,description,Link,Event_Type
100. George's Street Arcade,,Historic Walking Areas • Flea & Street Markets,3.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189578-Reviews-George_s_Street_Arcade-Dublin_County_Dublin.html,Activites
101. Coolmine Equestrian Centre,,Equestrian Trails,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3680898-Reviews-Coolmine_Equestrian_Centre-Dublin_County_Dublin.html,Activites
102. St. Mary's Pro-Cathedral,,Religious Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214995-Reviews-St_Mary_s_Pro_Cathedral-Dublin_County_Dublin.html,Activites
103. The Spire,,Points of Interest & Landmarks,3.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d4053738-Reviews-The_Spire-Dublin_County_Dublin.html,Activites
104. John's Lane Church,,Religious Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216324-Reviews-John_s_Lane_Church-Dublin_County_Dublin.html,Activites
105. O'Connell Bridge,,Bridges,3.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216615-Reviews-O_Connell_Bridge-Dublin_County_Dublin.html,Activites
106. Dublin Bay,,Bodies of Water,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189071-Reviews-Dublin_Bay-Dublin_County_Dublin.html,Activites
107. Escape Boats,,Escape Games,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d12616619-Reviews-Escape_Boats-Dublin_County_Dublin.html,Activites
108. City Hall,,Architectural Buildings • History Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216200-Reviews-City_Hall-Dublin_County_Dublin.html,Activites
109. Irish Museum of Modern Art (IMMA),,Art Museums,3.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214986-Reviews-Irish_Museum_of_Modern_Art_IMMA-Dublin_County_Dublin.html,Activites
110. Stena Adventurer,,Ferries,3.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d317353-Reviews-Stena_Adventurer-Dublin_County_Dublin.html,Activites
111. Fallon & Byrne,,Shopping Malls,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3377594-Reviews-Fallon_Byrne-Dublin_County_Dublin.html,Activites
112. Dollymount Strand,,Beaches,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216250-Reviews-Dollymount_Strand-Dublin_County_Dublin.html,Activites
113. Arbour Hill Cemetery,,Cemeteries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d195303-Reviews-Arbour_Hill_Cemetery-Dublin_County_Dublin.html,Activites
114. Hell-Fire Club,,Historic Sites • Ancient Ruins,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7622498-Reviews-Hell_Fire_Club-Dublin_County_Dublin.html,Activites
115. Corkagh Park,,Parks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2646750-Reviews-Corkagh_Park-Dublin_County_Dublin.html,Activites
116. Clara Lara Fun Park,,Amusement & Theme Parks,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1567700-Reviews-Clara_Lara_Fun_Park-Dublin_County_Dublin.html,Activites
117. Dublin Writers Museum,,Speciality Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188497-Reviews-Dublin_Writers_Museum-Dublin_County_Dublin.html,Activites
118. James Joyce Statue,,Monuments & Statues,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2322360-Reviews-James_Joyce_Statue-Dublin_County_Dublin.html,Activites
119. Museum of Literature Ireland,,Speciality Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d18382490-Reviews-Museum_of_Literature_Ireland-Dublin_County_Dublin.html,Activites
120. Courtville Matthew Weldon,,Antique Shops • Shopping Malls,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d8663531-Reviews-Courtville_Matthew_Weldon-Dublin_County_Dublin.html,Activites
121. Leinster House,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189081-Reviews-Leinster_House-Dublin_County_Dublin.html,Activites
122. Royal Hibernian Academy,,Art Galleries,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3334117-Reviews-Royal_Hibernian_Academy-Dublin_County_Dublin.html,Activites
123. Bull Island,,Islands • Nature & Wildlife Areas,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216180-Reviews-Bull_Island-Dublin_County_Dublin.html,Activites
124. Irish Family History Centre,,Visitor Centres • History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d10309040-Reviews-Irish_Family_History_Centre-Dublin_County_Dublin.html,Activites
125. The Irish Dance Party,,Lessons & Workshops • Theatre & Performances,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1553319-Reviews-The_Irish_Dance_Party-Dublin_County_Dublin.html,Activites
"126. The Sporting Emporium Casino, Dublin",,Casinos,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1832926-Reviews-The_Sporting_Emporium_Casino_Dublin-Dublin_County_Dublin.html,Activites
127. The Bodywise Clinic,,Spas,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d8630316-Reviews-The_Bodywise_Clinic-Dublin_County_Dublin.html,Activites
128. An Post General Post Office,,Architectural Buildings • Government Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d14977376-Reviews-An_Post_General_Post_Office-Dublin_County_Dublin.html,Activites
129. Wild Rover Tours,,Cultural Tours • Historical & Heritage Tours,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2091253-Reviews-Wild_Rover_Tours-Dublin_County_Dublin.html,Activites
130. Garda Museum & Archives,,Speciality Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2499902-Reviews-Garda_Museum_Archives-Dublin_County_Dublin.html,Activites
131. Four Courts,,Architectural Buildings • Government Buildings,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214888-Reviews-Four_Courts-Dublin_County_Dublin.html,Activites
132. Whitefriar Street Carmelite Church,,Religious Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216544-Reviews-Whitefriar_Street_Carmelite_Church-Dublin_County_Dublin.html,Activites
133. The O'Connell Monument,,Monuments & Statues,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d4234529-Reviews-The_O_Connell_Monument-Dublin_County_Dublin.html,Activites
134. Mulligan's,,Bars & Clubs,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188500-Reviews-Mulligan_s-Dublin_County_Dublin.html,Activites
135. The Long Hall,,Points of Interest & Landmarks • Bars & Clubs,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d605166-Reviews-The_Long_Hall-Dublin_County_Dublin.html,Activites
136. Science Gallery Dublin,,Art Galleries • Science Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2319009-Reviews-Science_Gallery_Dublin-Dublin_County_Dublin.html,Activites
137. The Paddocks Riding Centre,,Equestrian Trails • Horseback Riding Tours,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3332249-Reviews-The_Paddocks_Riding_Centre-Dublin_County_Dublin.html,Activites
138. The Irish House Party,,Dinner Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d636125-Reviews-The_Irish_House_Party-Dublin_County_Dublin.html,Activites
139. Dublin Tourism Centre,,Visitor Centres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191020-Reviews-Dublin_Tourism_Centre-Dublin_County_Dublin.html,Activites
140. Bank of Ireland,,Architectural Buildings,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214876-Reviews-Bank_of_Ireland-Dublin_County_Dublin.html,Activites
141. Finn McCools Tours,,Cultural Tours • Historical & Heritage Tours,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d6728818-Reviews-Finn_McCools_Tours-Dublin_County_Dublin.html,Activites
